Campaign Name,Ad Set Name,Ad Name,Day,Impressions,Results,Amount Spent (USD),Purchase,Signup,Link Clicks,Status reasons
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-19,4481,8,64.7794,4,8,38,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-10,7242,3,147.0609,1,3,37,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-13,6505,6,111.7940,3,6,35,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-07,6270,8,103.9144,2,8,34,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-11,7126,3,131.8510,,3,33,status check
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-14,3591,2,54.4524,1,2,32,active
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-09,5203,3,66.1046,3,3,31,na
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-08,4663,1,52.9004,1,1,29,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-21,3803,1,49.6292,2,1,29,limited by budget
Retargeting Test,ALL_Retargeting_Site Visitors,Retargeting Ad,2020-12-30,111904,109473,118.3006,,,28,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-22,2138,4,43.0390,4,4,27,active
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-10,3919,3,51.3842,4,3,27,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-11,2522,1,47.1817,1,1,27,status check
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-18,3411,6,51.7184,5,6,26,active
Retargeting Test,ALL_Retargeting_Site Visitors,Retargeting Ad,2020-12-31,119482,117888,118.3483,,,25,active
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-13,2775,1,43.8150,3,1,25,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-14,2537,1,49.2113,,1,25,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-12,4253,1,82.7949,1,1,24,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-12,3354,1,54.7748,1,1,23,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-28,2098,2,40.8900,1,2,21,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-25,2037,4,32.1629,2,4,21,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-11,2591,3,39.7439,2,3,21,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-21,2273,5,34.7416,1,5,19,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-10,2429,1,40.4841,1,1,19,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-27,2214,2,37.8457,2,2,19,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-13,2620,1,47.0504,,1,19,indc
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-17,1120,2,24.6534,1,2,18,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-15,2036,2,36.4966,2,2,18,indc
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-08,1811,1,27.8888,1,1,17,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-31,1561,1,26.8740,1,1,17,limited by budget
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-21,3078,1,43.5285,,1,17,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-20,2004,3,31.9002,2,3,16,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-15,3111,3,42.3346,2,3,15,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-18,1611,1,39.8753,,1,15,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-24,1969,1,37.2846,1,1,15,status check
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-17,2524,1,29.1066,2,1,13,active
